,No 1,No 2,tie,win,loss
115,10.0,13.0,0.02741732485772716,54.380323793567484,45.59225888157476
116,10.0,14.0,0.027417324857727122,59.76474307933473,40.20783959580872
126,11.0,11.0,0.011822782488188143,85.42615463767882,14.562022579832522
127,11.0,12.0,0.02741732485772709,52.379759549031725,47.592823126111675
128,11.0,13.0,0.02741732485772716,55.438236966684975,44.5343457084558
129,11.0,14.0,0.027417324857727122,60.822656252453356,39.149926422688644
140,12.0,12.0,0.011822782488188143,87.8469655366069,12.141211680904723
141,12.0,13.0,0.02741732485772716,56.97547078485993,42.99711189028263
142,12.0,14.0,0.027417324857727122,62.3598900706281,37.61269260451351
154,13.0,13.0,0.011822782488188143,90.28255308402856,9.705624133483825
155,13.0,14.0,0.027417324857727122,64.69927269180711,35.273309983333476
